,first_reporting
42216,ZTF
42247,DLT40
42465,ATLAS
42622,ATLAS
42634,ZTF
42842,ATLAS
42873,ATLAS
42880,ASAS-SN
43391,ZTF
43556,ZTF
43605,ATLAS
43672,ATLAS
43860,ZTF
43895,ZTF
43983,ZTF
44017,ZTF
44054,ZTF
44065,ZTF
44102,ZTF
44126,ZTF
44210,ZTF
44244,ATLAS
44524,ATLAS
44536,ATLAS
44563,ATLAS
44588,ZTF
44697,ATLAS
44722,ZTF
45179,ZTF
45258,ZTF
45264,ZTF
45329,ATLAS
45354,ZTF
45359,ZTF
45421,ZTF
45474,ATLAS
45504,ZTF
45612,ATLAS
45613,ATLAS
45641,ATLAS
45642,ATLAS
45643,ATLAS
45664,ATLAS
45665,ATLAS
45703,ATLAS
45712,ATLAS
45714,ATLAS
45715,ATLAS
45762,ATLAS
45787,ATLAS
45788,GOTO
45896,GaiaAlerts
45909,ATLAS
46137,ZTF
46228,ZTF
46345,ATLAS
46468,ZTF
46494,ATLAS
46509,ATLAS
46527,ASAS-SN
46615,ZTF
46688,ZTF
46862,ZTF
46907,ZTF
46917,ZTF
47056,ATLAS
47067,ZTF
47207,ZTF
47208,ZTF
47313,ZTF
47316,ZTF
47655,ATLAS
47691,XOSS
47861,ATLAS
48335,ZTF
48337,ZTF
48389,ASAS-SN
48414,MASTER
48461,ATLAS
48586,CRTS
48636,ZTF
48722,ZTF
48918,ZTF
49053,ATLAS
49076,ZTF
49139,ATLAS
49157,DLT40
49211,ZTF
49392,ZTF
49413,ZTF
49432,ATLAS
49443,ZTF
49449,ZTF
49480,ATLAS
49524,ATLAS
49628,ZTF
49634,ZTF
49689,ZTF
49737,ZTF
49747,ATLAS
49837,ATLAS
49877,ATLAS
49927,ZTF
49955,ZTF
50059,ATLAS
50060,ATLAS
50090,ZTF
50187,ZTF
50200,ZTF
50256,ATLAS
50288,ZTF
50307,ZTF
50308,ZTF
50332,ZTF
50396,ATLAS
51070,ZTF
51099,ASAS-SN
51159,GaiaAlerts
51200,ZTF
51308,ZTF
51312,ZTF
51475,ATLAS
51476,ATLAS
51489,XOSS
51506,Pan-STARRS
51560,ATLAS
51589,ATLAS
51870,ATLAS
52112,ZTF
52196,ZTF
52284,ZTF
52310,ATLAS
52311,ZTF
52405,GaiaAlerts
52564,ATLAS
52630,ATLAS
52758,ZTF
52996,ZTF
53283,ZTF
53298,ZTF
53335,ZTF
53445,ZTF
53511,ZTF
53811,ATLAS
54054,ZTF
54160,ATLAS
54192,ATLAS
54235,ATLAS
54305,ZTF
54360,ATLAS
54419,ZTF
54508,ZTF
54513,ZTF
54538,ZTF
54553,ZTF
54564,ATLAS
54575,ASAS-SN
54638,ZTF
54752,ZTF
54754,ZTF
54756,ZTF
54840,ATLAS
54952,ZTF
55064,ATLAS
55168,ATLAS
55243,ATLAS
55251,GaiaAlerts
55297,ATLAS
55301,ATLAS
55368,ATLAS
55398,ZTF
55541,ATLAS
55542,ATLAS
55543,ATLAS
